Tone,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
2,0,20.229,0,20.229,20.229,242.75,262.98,262.98,303.44,20.229
2,26.89,26.89,215.12,242.01,242.01,242.01,242.01,242.01,268.9,349.57
2,22.732,250.05,227.32,227.32,181.86,181.86,204.59,250.05,272.78,295.52
2,0,248.77,226.15,203.54,248.77,248.77,248.77,226.15,271.38,294
2,22.05,22.05,22.05,22.05,220.5,242.55,220.5,242.55,308.7,22.05
2,24.365,24.365,243.65,219.28,219.28,219.28,219.28,268.01,24.365,316.74
2,0,18.148,18.148,18.148,18.148,145.19,217.78,235.93,290.37,18.148
2,0,17.431,226.6,226.6,226.6,244.03,261.46,17.431,34.862,17.431
2,17.927,17.927,17.927,17.927,17.927,17.927,17.927,17.927,17.927,17.927
2,27.911,223.29,223.29,223.29,223.29,195.38,251.2,279.11,251.2,27.911
2,0,250.05,227.32,227.32,250.05,22.732,272.78,272.78,250.05,22.732
2,0,0,220.5,220.5,248.06,220.5,275.63,275.63,27.563,27.563
2,22.386,22.386,246.24,223.86,223.86,22.386,223.86,246.24,22.386,22.386
2,20.802,20.802,20.802,20.802,20.802,20.802,20.802,249.62,270.42,20.802
2,19.955,19.955,19.955,199.55,219.5,19.955,219.5,259.41,239.46,279.37
2,19.6,19.6,19.6,19.6,19.6,19.6,19.6,294,19.6,0
2,23.583,212.25,259.41,212.25,23.583,23.583,259.41,212.25,23.583,23.583
